Down,4,CLAUDE,Monet about to exclaim “God!” (6)
Down,3,FIR,Odds of flier making tree (3)
Down,10,UNPOPULAR,Disliked posh juice pulp on a second try (9)
Across,27,HOT STREAK,"Mistakenly take short run of wins (3,6)"
Down,8,TITHES,"Donations to church – model it health economics style, to begin with (6)"
Down,1,ASIMOV,Writer of fantastical movies gave note for lead actor (6)
Across,9,IMPORTANT,Prominent trade worker (9)
Down,22,RANKLE,Irritate leg joint post-run (6)
Across,6,CHAT,Discuss a hundred-odd hearts (4)
Across,13,WIDTH,How I’d thought to contain scope (5)
Down,17,BOOKSHOP,Daunt logs what bunnies d​​o (8)
Across,31,APOCALYPSE,A scaly pope bastardised Revelations (10)
Across,1,ARTIFICIAL,"I enter football club in warlike mood, start off pretending (10)"
Across,18,GAME BOY,"Jolly about mega order being withdrawn by portable console (4, 3)"
Across,19,LEAN,The Spanish back an inclination (4)
Across,14,PAUSE,Stop employ after assistant (5)
Across,24,KHMER,Kazakh mercenary smuggles Cambodian (5)
Across,30,DATE,Palm off a ted (4)
Across,36,SPICE,"Saffron I parcel out, special price not holding (5)"
Down,20,PASSED,Back when speaking meant no action taken (6)
Across,23,AMARO,Rifle through morning rooms endlessly for bitter thing to swallow (5)
Down,12,PRONATALIST,In favour of resigned type loudly going after new advocate for children
Down,29,ESP,Record without second psychic power (3)
Down,28,TIL,Before I enter the timeline (3)
Across,16,GRAPHIC,"Grand artist read out work written by fan, a type of novel (7)"
Across,15,MODE,Average German follows standard way of working (4)
Across,10,UNLIT,Gloomy nut freaks out on lithium (5)
Down,7,HALLUCINATE,"See things are messed up, I launch late (11)"
Down,2,TAP,Pat back and forth? (3)
Across,11,OAP,Older person lasts to samba step (3)
Down,13,WHEREFORE,"Loud clothes, for what reason? (9)"
Down,22,EMETIC,Makes you sick? Even celiac takes force (6)
Across,25,ERA,"Age of queen, at first (3)"
Down,5,ANTIHERO,Blows air on the Batman (8)